"Category","Cat_lab","Adsorbent_Name","Ads_lab","BET Surface Area","Pore Volume","Micropore Volume","Pore Diameter","Pressure","Temperature","CO2 Partial Pressure","CO2 Adsorption Capacity","Selectivity","Pattern","Rank"
"Magnesium_Oxide","4","KMgI30-500","161","","","","","1","60","0.01","124.8","","P2","1"
"Magnesium_Oxide","4","KMgP30-500","163","","","","","1","60","0.01","119.1","","P2","1"
"Magnesium_Oxide","4","KMgI30-300","159","","","","","1","60","0.01","103.9","","P2","1"
"Magnesium_Oxide","4","KACI30","157","","","","","1","60","0.01","82","","P2","1"
"Magnesium_Oxide","4","KACP30","158","","","","","1","60","0.01","75.5","","P2","1"
"Magnesium_Oxide","4","KMgP30-300","160","","","","","1","60","0.01","73.3","","P2","1"
"COF","2","COF-5","66","1670","1.07","","","1","0","1","31","","P9","2"
"POP","2","TRITER-1","126","716","0.32","","1.7","5","0","5","13.38","","P8","2"
"MOF","1","HKUST-1_(CuBTC)","24","1571","0.79","","","6","25","6","10.9","10","P9","2"
"MOF","1","Cu2(abtc)3_(SNU-5)","17","2850","1","","","1","0","1","8.75","","P9","3"
"Activated_Carbon","6","AC_from_Bamboo_Chips","185","1567","","","2.5","1","2","1","8.5","","P9","3"
"MOF","1","Al4(OH)2(OCH3)4_(BDC-NH2)3","5","1268","1.32","0.61","","1","0","1","7.2","","P9","3"
"MOF","1","PCN-88","35","","","","","1","0","1","7.14","23.1","P1","3"
"Activated_Carbon","6","CP-2-600","190","1700","0.88","0.74","","1","0","1","6.2","","P9","3"
"MOF","1","Dy(BTC)(H2O)__DMF","22","655","","","0.55","1","0","1","6.2","","P1","3"
"MOF","1","bio-MOF-11","11","1040","0.45","","0.58","1","0","1","6","81","P9","3"
"ZIF","1","ZIF-76","47","1340","0.57","","1.22","10","30","10","6","","P11","3"
"Activated_Carbon","6","CP-2-650","191","2520","1.25","1.08","","1","0","1","5.9","","P9","3"
"Activated_Carbon","6","CP-2-700","192","2940","1.37","1.14","","1","0","1","5.9","","P9","3"
"ZIF","1","ZIF-8","48","1445","0.59","","1.16","10","30","10","5.8","","P11","3"
"COF","2","FCTF-1-600","79","1535","","","0.46","1","0","0.999995","5.53","","P9","3"
"MOF","1","SIFSIX-2-Cu-i","38","735","","0.26","0.515","1","25","1","5.41","140","P1","3"
"MOF","1","Cu2(bdcppi)(DMF)2_SNU-50","18","2300","1.08","","1.1","1","0","1","5.36","","P9","3"
"MOF","1","PCN-88'","37","3042","","","","1","0","1","5.31","16.5","P9","3"
"POP","2","Fe-POP-1","80","875","0.365","","1.1","1","0","1","5.21","","P9","3"
"POP","2","Fe-POP-2","81","855","0.417","","1.04","1","0","1","5.1","","P9","3"
"COF","2","COF-JLU2","69","415","0.56","","0.96","1","0","1","5","77","P1","3"
"Zeolite","3","K@RWY","142","716","0.381","","0.62","1","23","1","4.98","","P1","3"
"Activated_Carbon","6","HCM-DAH-1-900-1","204","1392","0.46","0.2","5","1.04","0","1.04","4.9","","P9","3"
"Zeolite","3","Na-Y","144","","","","","0.10526315789474","0","0.10526315789474","4.9","","P1","3"
"POP","2","PFPOP-3","103","530","0.3","0.16","0.73","1","0","1","4.74","56.5","P1","3"
"COF","2","FCTF-1","78","662","","","0.46","1","0","0.999995","4.67","","P9","3"
"Porous_Carbon","6","NC-2-600","211","986","","0.41","","1","25","1","4.61","25","P9","3"
"MOF","1","HKUST-1_(CuBTC)","24","1333","","0.658","","1","22","1","4.6","","P9","3"
